Division,Cell/Line/ Dept,Category,Machine and Equipment,Location and/or Workcenter,Type (capex/small tool),Serial No.,Asset #,,Year New,Condition,Service Status (in/out),As of (Year-Month), Estimated/expected replacement cost ,Estimted Replacement Year,ERY: 0-1,ERY: 1-2,ERY: 2-3,ERY:3-4,ERY: 4-5,ERY: 5+,COMMENTS
BLA,Toilet Partitions Factory,Tooling,"POP UP Table, 3/4"" Edge Finisher - ID 1488",CL Cell,small tool,N/A,N/A,,2022,Good ,In ,2022-04,,N/A,,,,,,,
BLA,Toilet Partitions Factory,Machine,"1/2 "" Edge Finisher, Solid, Technolegno/ Universal 280 - ID 1570",CL Cell,capex,3477,N/A,,N/A,Good,In ,N/A,,2020,,x,,,,,
BLA,Toilet Partitions Factory,Tooling,1/2 Pop-up table made in house - ID 1623,CL Cell,small tool,N/A,N/A,,N/A,Good,In ,N/A,,2030,,x,,,,,
BLA,Toilet Partitions Factory,Machine,"3/4 "" Edge Finisher, Solid, Technolegno/ Universal 280 - ID 151/11274",Evolve Cell,capex,3468,11274,,2008,Good,In ,2008-09,,2020,,,,,,,
BLA,Toilet Partitions Factory,Machine,3/4 Thomas return system  - ID 1461,CL Cell,capex,N/A,N/A,,2017,Good,In ,2017-10,,2027,,,,,,,
BLA,Toilet Partitions Factory,Facilities,Cart - TPF Finish Goods - ID 1564,General,capex,2020933,N/A,,N/A,Good,In,N/A,,N/A,,,,,,,
BLA,Toilet Partitions Factory,Facilities,"Cart, Order Packing - ID 107",General,small tool,,N/A,,N/A,,,N/A,,,,,,,,,
BLA,Toilet Partitions Factory,Tooling,Chop Saw (corner guard pack out Lam.) - ID 782/n/a,CL Cell,small tool,310135,N/A,,N/A,Good,In ,N/A,,2023,,,,,,,
BLA,Toilet Partitions Factory,Tooling,Chop saw by Holzma Saw  - ID 1969,CL Cell,small tool,H090977,N/A,,N/A,Good,In ,N/A,,N/A,,,,,,,
BLA,Toilet Partitions Factory,Tooling,CNC Drill Setup Gage-1040  - ID 1568,HPL Cell,small tool,,N/A,,N/A,,,,,,,,,,,,
BLA,Toilet Partitions Factory,Tooling,CNC Drill Setup Gage-1080 - ID 1569,CL Cell,small tool,,N/A,,N/A,,,,,,,,,,,,
BLA,Toilet Partitions Factory,Machine,"CNC Drilling Machine, Automatic Leveling Bar - ID 154/11294",CL Cell,capex,Custom,11294,,2009,Good,Out,2009-06,,2019,,,,,,,
BLA,Toilet Partitions Factory,Facilities,Concrete floor  - ID 1571,General,N/A,N/A,,,,,,,,,,,,,,,
BLA,Toilet Partitions Factory,Tooling,Cutout Jig B3471/B3571 - ID 1544,CL Cell,Small Tool,,N/A,,N/A,N/A,In,N/A,,,,,,,,,
BLA,Toilet Partitions Factory,Tooling,"Cutout Jig B357, B347 - ID 1543",CL Cell,Small Tool,,N/A,,N/A,N/A,In,N/A,,,,,,,,,
BLA,Toilet Partitions Factory,Tooling,Drill Jig - for Door Hinges  Laminate - ID 1657,HPL Cell,Small Tool,,N/A,,N/A,,,N/A,,,,,,,,,
BLA,Toilet Partitions Factory,Tooling,Drill Jig - for Door Hinges ( 3 Hinges) Laminate - ID 1654,HPL Cell,Small Tool,,N/A,,N/A,,,N/A,,,,,,,,,
BLA,Toilet Partitions Factory,Tooling,Drill Jig - for Hinges for O/S Stile Hinges - ID 1655,CL Cell,Small Tool,,N/A,,N/A,Good,In ,N/A,,,,,,,,,
BLA,Toilet Partitions Factory,Tooling,Drill Jig - for Hinges Stile -I/S-O/S FC For Laminate - ID 1653,HPL Cell,Small Tool,,N/A,,N/A,,,N/A,,,,,,,,,
BLA,Toilet Partitions Factory,Tooling,Drill Jig - OS Door Hinge  - ID 1656,CL Cell,Small Tool,,N/A,,N/A,Fair,In ,N/A,,,,,,,,,
BLA,Toilet Partitions Factory,Tooling,"Drill Jig, 1080/ 1090 Leveling Bar - ID 121",CL Cell,Small Tool,,N/A,,2007,Good,In,2007-04,,2019,,,,,,,
BLA,Toilet Partitions Factory,Machine,Drill Press (Stile Building Cell) - ID 780, ,capex,1497170,N/A,,N/A,N/A,N/A,N/A,,2027,,,,,,,
BLA,Toilet Partitions Factory,Machine,"Drilling Machine CNC, 1040 Laminate  - ID 105/10863",HPL Cell,capex,139.592,10863,,2006,Good,In ,2006-05,,2018,,,,,,,
BLA,Toilet Partitions Factory,Tooling,"Driver, Pulse Tool, 1080 Leveling Bar - ID 64",CL Cell,small tool,N/A,N/A,,2001,,In,2001-02,,2018,,,,,,,
BLA,Toilet Partitions Factory,Tooling,"Driver, Pulse Tool, 1080 Leveling Bar,Desoutter model PTF022-T6500-S4Q - ID 1160",CL Cell,small tool,N/A,N/A,,2014,,In,2014-10,,2024,,,,,,,
BLA,Toilet Partitions Factory,Facilities,Drywall Carts  1-15 - ID 812,HPL Cell,small tool,N/A,N/A,,,,In,,,,,,,,,,
BLA,Toilet Partitions Factory,Machine,"Dust Collector, Donaldson Downflo Oval - ID 749",,capex,,,,2023,,In ,2013-12,,2023,,,,,,,
BLA,Toilet Partitions Factory,Machine,Edge Finisher Laminate - ID 1335,HPL Cell,capex,3697,11425,,2014,Fair,In,2014-10,,2024,,,,,,,
BLA,Toilet Partitions Factory,Tooling,Edgebander Pop up table  - ID 1686,HPL Cell,small tool,N/A,N/A,,,Good,In ,N/A,,N/A,,,,,,,
BLA,Toilet Partitions Factory,Machine,"Edgebander,Holz-Her Arcus Series - ID 736/11373",HPL Cell,capex,N/A,N/A,,N/A,Good,Out,N/A,,2024,,,,,,,
BLA,Toilet Partitions Factory,Machine,Evolve Double Head Drilling Machine  - ID 2110,CL Cell,capex,N/A,N/A,,N/A,Good,In ,N/A,,N/A,,,,,,,
BLA,Toilet Partitions Factory,Facilities,Flamex spark detection and extinguishing system  - ID 2103,,capex,,,,,,,,,,,,,,,,
BLA,Toilet Partitions Factory,Tooling,FLIP TABLE - ID 1350,CL Cell,small tool,N/A,N/A,,N/A,Good,In,N/A,,N/A,,,,,,,
BLA,Toilet Partitions Factory,Facilities,Forklift # T20 - ID 29,,small tool,,,,,,,,,,,,,,,,
BLA,Toilet Partitions Factory,Facilities,Forklift # T4 - ID 27,,capex,,,,,,,,,,,,,,,,
BLA,Toilet Partitions Factory,Facilities,Forklift # T5 - ID 28,,capex,,,,,,,,,,,,,,,,
BLA,Toilet Partitions Factory,Facilities,"FRL - Filter, Regulator, Lubricator - ID 72",,capex,,,,,,,,,,,,,,,,
