eq_id,dept,dept_num,equipment_name,asset_num,make,model,vendor,wo_qty,modified
EQ ID 5382,Grab Bars,1145,Stand Up Toyota Forklift,,Toyota,RF1-SD1X35,Thompson and Johnson,0,6/1/2026 4:54 AM
EQ ID 5383,Tube Mill,1180,Auto Peener,,Guyson,Custom,Guyson Corporation,1,4/6/2026 9:51 AM
EQ ID 5381,Grab Bars,1145,Amada Punch Press Un-coiler / Straightener Feeder,,Amada,LCC03KR3,Jake/Matt,0,3/26/2026 5:05 AM
EQ ID 5374,Grab Bars,1145,Amada Punch Press,,Amada,SDEW2025I3,Jake/Matt,0,12/8/2025 6:39 AM
EQ ID 5371,Maintenance,2110,SkyJack Scissor Lift,,SKYJACK,SJIII 3219,Thompson and Johnson,0,9/22/2025 9:43 AM
EQ ID 5305,Toilet Partitions,1170,Edge Bander,3137,HOMAG,EDGETEQ S-500,Stiles Machinery,0,9/3/2025 3:46 PM
EQ ID 5353,Toilet Partitions,1170,Tenoner,,Voorwood,A517Z(H),Jake/Matt,0,9/3/2025 3:42 PM
EQ ID 1764,Grab Bars,1145,Tumbler,11561,"Hammond Roto Finish, Fortune Metal Finishing",HR-17 SPIRATRON Straight Wall,,0,9/3/2025 3:37 PM
EQ ID 1566,Toilet Partitions,1170,1040 Holzma Horizontal Panel Saw,11492,Holzma,Profi HPL400/38/16,Stiles Machinery,0,9/3/2025 3:29 PM
EQ ID 5346,Toilet Partitions,1170,Black Bros Glue Spreader,3172,Black Bros,22D-1175 T&B SPR NL 74,Jake/Matt,0,9/3/2025 3:25 PM
EQ ID 1756,Grab Bars,1145,Line 4 Coping Machine/Bader,11532 & 11533,Advance Control System/Stephen Bader CO.INC,Stephan Bader,,0,8/27/2025 2:34 PM
EQ ID 1364,Toilet Partitions,1170,Transfer Conveyor Hot Press,11363,Roach,?,,0,6/30/2025 7:44 PM
EQ ID 283,Shower Seats,1140,Abrasive Blast Cabinet 36x24,22625,Econoline,WD-40X38,,0,6/30/2025 7:43 PM
EQ ID 5312,Grab Bars,1145,"12""x 24"" Lathe (Grab Bars)",5312,Grizzly Industrial,G4002,Jake/Matt,0,6/30/2025 7:14 PM
EQ ID 1125,Shower Seats,1140,"Router, Anderson Stratos Pro 5' by 17'",10259,Anderson,Statos Pro,Anderson America,2,6/25/2025 8:40 PM
EQ ID 5307,Grab Bars,1145,Line 1 Bender - Transfluid,11519,Transfluid,DB 650 ST-SPS,Transfluid - Advanced Fabrication,0,6/16/2025 6:16 PM
EQ ID 1981,Grab Bars,1145,Line 3 Bender - Transfluid,11649,Transfluid,DB 650 ST-SPS,Transfluid - Advanced Fabrication,0,5/29/2025 12:29 PM
EQ ID 5022,Grab Bars,1145,Line 2 Bender - Transfluid,11649,Transfluid,DB-6-50ST-SPS,Transfluid - Advanced Fabrication,0,5/29/2025 12:22 PM
EQ ID 5366,Toilet Partitions,1170,1080 HOMAG Horizontal Panel Saw,,HOMAG,SAWTEQ S-410,Stiles Machinery,1,5/27/2025 5:30 AM
EQ ID 5367,Tube Mill,1180,Finishing System,,Midwest,,Jake/Matt,0,5/14/2025 3:32 AM
EQ ID 5361,Shower Seats,1140,S.S. Transfluid Bender,,Transfluid,DB 642-CNC-VE,Transfluid - Advanced Fabrication,0,3/4/2025 4:25 AM
EQ ID 5360,Toilet Partitions,1170,Voorwood Finisher,,Voorwood,A517Z(H),Jake/Matt,0,3/4/2025 4:08 AM
EQ ID 5295,Tube Mill,1180,Bossi Seam Grinder,,Bossi,STP 3000 / 150 / 170 COAX,Jake/Matt,0,10/23/2024 6:14 AM
EQ ID 5345,Toilet Partitions,1170,1080 Stile Foot Drilling Machine,,Challenge Automation,Challenge Automation,Jake/Matt,0,8/27/2024 12:13 PM
EQ ID 5332,Quality Assurance,27,Gapless Lip Thickness Gauge,,BLA,Gapless lip,Jake/Matt,0,6/7/2024 11:14 AM
EQ ID 5331,Quality Assurance,27,2080G 12FC,,BLA,2080G,Jake/Matt,0,6/7/2024 11:12 AM
EQ ID 5330,Quality Assurance,27,1080G 12 FC ( Gapless Curvature Gauge ),,BLA,1080G,Jake/Matt,0,6/7/2024 11:09 AM
EQ ID 5329,Quality Assurance,27,2080G 9FC ( Gapless Curvature Gauge ),,BLA,2080G,Jake/Matt,0,6/7/2024 11:04 AM
EQ ID 5323,Quality Assurance,27,Gapless Router Gauge,,BLA,TPF Router,Jake/Matt,0,5/7/2024 9:35 AM
EQ ID 5322,Quality Assurance,27,Grab Bar Gauge Block,,BED,Wall Clearance,Jake/Matt,0,5/7/2024 9:20 AM
EQ ID 5317,Tube Mill,1180,Robot - Tubing Stacker,,Yaskawa Electric Corp,XRC-2001 YASNAC,Jake/Matt,0,3/28/2024 9:18 PM
EQ ID 5316,Tube Mill,1180,Duo-Cut Head #2,,Hill Engineering - Formtek,,Jake/Matt,0,3/28/2024 7:54 PM
EQ ID 5315,Tube Mill,1180,Duo-Cut Head #1,,Hill Engineering - Formtek,,Jake/Matt,0,3/28/2024 7:26 PM
EQ ID 5314,Tube Mill,1180,Un-coiler,,Formek,,Jake/Matt,0,3/28/2024 7:11 PM
EQ ID 5313,Shower Seats,1140,SS KMT Saw (517s),,KMT,C3705A-V,Jake/Matt,0,3/28/2024 2:22 PM
EQ ID 290,Shower Seats,1140,SS Polishing Lathe,4086,Square Deal,EVS-7,Jake/Matt,1,3/28/2024 2:06 PM
EQ ID 5311,Grab Bars,1145,Toyota Walkie Stacker Forklift (Grab Bars),,Toyota,6BWS15,Thompson and Johnson,0,3/28/2024 2:00 PM
EQ ID 5287,Tube Mill,1180,Toyota Forklift (Tube Mill),,Toyota,7FBJ35,Thompson and Johnson,0,3/28/2024 1:34 PM
EQ ID 5310,Facilites,4304,Water Heater (Grab Bars),,Ariston,ARIEC 115C3W165,Jake/Matt,0,3/27/2024 9:16 PM
EQ ID 291,Grab Bars,1145,Line 4 Polishing Lathe,5896,Square Deal,EVS-7,Jake/Matt,2,3/27/2024 9:11 PM
EQ ID 5026,Grab Bars,1145,Line 4 Trim Saw - Eisele,,Eisele,VMS 11-S-PV,Jake/Matt,0,3/27/2024 8:55 PM
EQ ID 5309,Grab Bars,1145,Line 1 Robotic Flange Welder - Lincoln Electric,,Lincoln Electric,System 5,Jake/Matt,0,3/27/2024 8:52 PM
EQ ID 1985,Grab Bars,1145,Line 2 Robotic Flange Welder - Lincoln Electric,3049,Lincoln Electric Company,System 5,Jake/Matt,0,3/27/2024 8:49 PM
EQ ID 1765,Grab Bars,1145,Line 5 Robotic Flange Welder - Lincoln Electric,11615,Lincoln Electric Company,System 5,Jake/Matt,0,3/27/2024 8:49 PM
EQ ID 1638,Grab Bars,1145,Line 3.5 Robotic Flange Welder - Lincoln Electric,,Lincoln,System 5,Jake/Matt,0,3/27/2024 8:47 PM
EQ ID 5308,Grab Bars,1145,Line 1 Rotary Trim Saw - Transfluid,11520,Transfluid,SRM 1565-E,Transfluid - Advanced Fabrication,0,3/27/2024 8:46 PM
EQ ID 1922,Grab Bars,1145,Line 2 Rotary Trim Saw -Transfluid,11632,Transfluid,SRM 1564-E,Transfluid - Advanced Fabrication,0,3/27/2024 8:44 PM
EQ ID 331,Grab Bars,1145,Line 3 Trim Saw - KMT,,KMT,C370SA-V,Jake/Matt,0,3/27/2024 8:44 PM
EQ ID 2134,Grab Bars,1145,Line 3.5 Rotary Trim Saw - Transfluid,,Transfluid,SRM 1565-E,Transfluid - Advanced Fabrication,0,3/27/2024 8:43 PM
EQ ID 1982,Grab Bars,1145,Line 3.5 Bender - Transfluid,11673,Transfluid,DB 6-50 ST-SPS,Transfluid - Advanced Fabrication,0,3/27/2024 8:26 PM
