equipment_id,equipment_eq_id,equipment_name,department,wo_id,date_notified,urgency,problem,status,material_cost,labor_time,work_performed_by,assigned_to,downtime_hours,completed_datetime,comments,attachments
752,EQ ID 752,General Maintenance ( MISC. ),Facilites,20044,07/07/2026,6. General Maint,The ice machine in the lunch room is making lots of sqeeky noises.,Closed Without Action,0,0,N/A,Maintenance,0,07/07/2026 12:00 AM,,[]
5203,EQ ID 5203,General Maintenance ( OFFICE ),Facilites,10800,03/21/2024,6. General Maint,"One of the cabinets we recently purchased for supplies in the office will not open the top two drawers, the bottom drawer will open but it must not be shutting fully and the other two drawers seem to be locked out.  Possibly crooked not allowing the bottom drawer to shut proper.  It is the cabinet on the left.",Closed and Completed,0,0.25,Kyle,Maintenance,0,04/09/2024 01:30 PM,,[]
5018,EQ ID 5018,Front Office Mens Room,Facilites,19349,05/08/2026,6. General Maint,Water is leaking from the urinal,Closed and Completed,0,0,Jake,Maintenance,0,05/11/2026 12:00 AM,Jake Demers - 05/11/26  4:44:45 AM: Bleeder hole was plugged,[]
1764,EQ ID 1764,Tumbler,Grab Bars,7065,08/30/2023,1. Prod Stopped,Belt broke on tumbler,Closed and Completed,0,0,"Matt M, Jake D",Supervisor,0,08/30/2023 12:00 AM,Matt Miller - 08/30/23  7:33:08 AM: Replaced Belt,[]
1756,EQ ID 1756,Line 4 Coping Machine/Bader,Grab Bars,18880,03/25/2026,1. Prod Stopped,"Someone tied up the power drop out of reach to shorter people.
Please have it moved to above the machine and within reach as to accommodate LOTO rules for the plug.",Closed and Completed,0,0,Jake D,Maintenance,0,03/25/2026 12:00 AM,,[]
5307,EQ ID 5307,Line 1 Bender - Transfluid,Grab Bars,13335,10/11/2024,"3. Prod Affected, Not Stopped","The screens on the bender and rotary trim machines keep going blank, and the operators have had to use a chip and a mouse to change programs manually. Could we reach out to TransFluid to investigate why this issue is occurring?",Closed and Completed,3500,1,Jake,Supervisor,0,11/07/2024 12:00 AM,Jake Demers - 01/15/25  3:39:29 AM: Contacted vender to order new belt | Jake Demers - 10/29/24  4:21:43 AM: New screens have been ordered | Jake Demers - 10/14/24  2:53:30 AM: Contacted Transfluid to get a quote on 2 new ones and have these repaired to be spares,[]
5307,EQ ID 5307,Line 1 Bender - Transfluid,Grab Bars,14380,01/16/2025,1. Prod Stopped,Pressure assist hydraulic fitting broke,Closed and Completed,0,0,Jake D,Maintenance,8,01/17/2025 12:00 AM,Jake Demers - 01/16/25  5:40:12 AM: CAT ordered the part for us they will be the fastest to get it in. Expected to be here first thing in the morning,[]
5307,EQ ID 5307,Line 1 Bender - Transfluid,Grab Bars,14765,02/20/2025,"5. Prod Ongoing, Maint Required",The bender on line 1 is leaking hydraulic fluid,Closed and Completed,0,0,Jake,Supervisor,0,02/20/2025 12:00 AM,Jake Demers - 02/20/25  5:43:37 AM: Replaced broken fitting,[]
5307,EQ ID 5307,Line 1 Bender - Transfluid,Grab Bars,15267,04/03/2025,"3. Prod Affected, Not Stopped",Line 1 bender keeps shutting down and it takes 30 seconds to 1 minute to restart. This has been an ongoing issue for months.,Closed Without Action,0,0,Jake,Supervisor,0,04/02/2025 12:00 AM,Jake Demers - 04/07/25  8:30:12 AM: Duplicate work order,[]
5307,EQ ID 5307,Line 1 Bender - Transfluid,Grab Bars,14622,02/11/2025,"3. Prod Affected, Not Stopped","After you make the first bend, the second bend can not be completed right away. There is a pause of 5-7 seconds before you can completed the second bend.",Closed and Completed,800,0.5,Jake,Supervisor,0,04/04/2025 12:00 AM,,[]
5307,EQ ID 5307,Line 1 Bender - Transfluid,Grab Bars,15678,05/08/2025,"3. Prod Affected, Not Stopped",Bender on line 1 keep stopping during bend cycle. Operator has to wait 30 sec. to 1 minute to reset machine. This has happened between 25-30 times today.,Closed Without Action,0,0,Jake,Supervisor,0,05/08/2025 12:00 AM,Jake Demers - 05/08/25 10:05:45 AM: Multiple work orders for same issue,[]
