equipment_id,equipment_eq_id,equipment_name,department,wo_id,date_notified,urgency,problem,status,material_cost,labor_time,work_performed_by,assigned_to,downtime_hours,completed_datetime,comments,attachments
5282,EQ ID 5282,Toyota Forklift,Shipping,17920,12/11/2025,"5. Prod Ongoing, Maint Required",Fork truck Z4096 – Service Wrench – Forks stop working,Closed and Completed,0,0,Jake D,Maintenance,0,12/12/2025 12:00 AM,Jake Demers - 12/12/25 11:21:28 AM: Seat safety switch was jumped out (Unknown who did this) . Please let departments know that defeating a safety device is lead to disciplinary actions.,[]
5282,EQ ID 5282,Toyota Forklift,Shipping,17921,12/11/2025,"5. Prod Ongoing, Maint Required",VNA Lift – the toggle for forwards and reverse is very loose,Closed and Completed,0,0,Tri-lift,Maintenance,0,04/15/2026 12:00 AM,,[]
5275,EQ ID 5275,Jungheinrich Forklift #1,Shipping,18592,02/27/2026,6. General Maint,Turret truck forklifts stops while trying to raise up. Also break button is loose.,Closed and Completed,0,0,Tri-Lift,Supervisor,0,04/15/2026 12:00 AM,,[]
5275,EQ ID 5275,Jungheinrich Forklift #1,Shipping,18807,03/18/2026,2. General Maint - High Priority,Turret truck is getting error codes while operating,Closed Without Action,0,0,Tri-Lift,Supervisor,0,04/15/2026 12:00 AM,Matt Miller - 04/16/26  3:11:52 AM: Tri-Lift is working on this,[]
5275,EQ ID 5275,Jungheinrich Forklift #1,Shipping,18914,03/30/2026,6. General Maint,Turret truck key won't work to turn it on/off,Closed and Completed,0,0,Tri-lift,Supervisor,0,04/15/2026 12:00 AM,,[]
5274,EQ ID 5274,Lantech Stretch Wrap Machine,Shipping,13485,10/21/2024,"5. Prod Ongoing, Maint Required",Bolt came loose. Machine making strange noise. Thank you,Closed and Completed,0,0,Jake D,Supervisor,0,10/21/2024 12:00 AM,,[]
5274,EQ ID 5274,Lantech Stretch Wrap Machine,Shipping,19621,05/28/2026,2. General Maint - High Priority,The pallet wrap makes a loud noise when spinning is currently down.,Closed Without Action,0,0,"Jake, Matt",Supervisor,0,06/05/2026 12:00 AM,Jake Demers - 06/05/26  8:35:20 AM: Dalton said there is no issues with it that it is working properly,[]
5274,EQ ID 5274,Lantech Stretch Wrap Machine,Shipping,20250,08/04/2026,2. General Maint - High Priority,Pallet wrap in shipping is making a loud noise when in use.,Closed and Completed,0,0,"Jake, Kyle",Supervisor,0,08/05/2026 12:00 AM,Jake Demers - 08/05/26  4:08:16 AM: Plastic wrap and debris buildup underneath round plate,[]
1793,EQ ID 1793,Platform Stretch Wrapper,Shipping,4762,03/09/2023,2. General Maint - High Priority,"The Wrapper had been reground as it was shocking employees, the unit is continuing to shock.
Also once the wrap is cut off once wrapping is complete it gets stuck, the next person goes to use for next shipment and pulled your hand back to the machine, this could cause someone’s had to get stuck.",Closed and Completed,0,0,Jake D,Maintenance,0,03/09/2023 12:00 AM,Jake Demers - 03/13/23  2:38:43 AM: Due to the dry air the film is creating a lot of static. I put something on it to pull the static off to prevent both issues from happening,[]
751,EQ ID 751,General Maintenance ( SHIPPING ),Shipping,4764,03/09/2023,6. General Maint,"Dock plate at door 4 is jacked up
If possible please take a look at all dock plates and grease if needed.",Closed and Completed,0,1,Beaton,Maintenance,0,04/05/2023 01:00 PM,"Matt Miller - 04/06/23  6:44:20 AM: Beaton re-welded dock plate, and bent tabs outward on the outside",[]
