equipment_id,equipment_eq_id,equipment_name,department,wo_id,date_notified,urgency,problem,status,material_cost,labor_time,work_performed_by,assigned_to,downtime_hours,completed_datetime,comments,attachments
283,EQ ID 283,Abrasive Blast Cabinet 36x24,Shower Seats,15169,03/26/2025,1. Prod Stopped,The air line to the foot pedal has split and is leaking air on the left side.,Closed and Completed,0,0,Jake,Supervisor,0,03/26/2025 12:00 AM,,[]
1125,EQ ID 1125,"Router, Anderson Stratos Pro 5' by 17'",Shower Seats,11001,04/09/2024,"5. Prod Ongoing, Maint Required",The Protective cover on router cord is off.,Closed and Completed,0,0,Jake,Maintenance,0,05/06/2024 12:00 AM,,[]
1125,EQ ID 1125,"Router, Anderson Stratos Pro 5' by 17'",Shower Seats,18663,03/06/2026,"5. Prod Ongoing, Maint Required",Hose for the dust collector needs to be replaced - dust falling back onto machine and jamming up the tooling.,Closed and Completed,0,0,Matt M,Supervisor,0,03/06/2026 12:00 AM,Matt Miller - 03/09/26  9:58:02 AM: Hose has been replaced.,[]
1125,EQ ID 1125,"Router, Anderson Stratos Pro 5' by 17'",Shower Seats,20259,08/05/2026,6. General Maint,Push button for the manual release on the spindle motor needs to be replaced - sticks when pushed (Jeff already worked with Jake on this. This maint. request is just for documentation purposes).,Closed and Completed,50,1,Jake,Supervisor,1,08/05/2026 12:00 AM,,[]
1125,EQ ID 1125,"Router, Anderson Stratos Pro 5' by 17'",Shower Seats,20260,08/05/2026,6. General Maint,The longer hose connecting the router to the dust collection system is starting to develop holes in it and needs to be replaced,Closed and Completed,700,1,Matt,Supervisor,0,08/10/2026 12:00 AM,,[]
5361,EQ ID 5361,S.S. Transfluid Bender,Shower Seats,16824,08/26/2025,2. General Maint - High Priority,Mandrel rod keeps snapping (2 in the last 2 days).,Closed and Completed,0,0,Jake,Supervisor,0,09/04/2025 12:00 AM,Jake Demers - 09/15/25  1:52:20 AM: Upgraded mandrel rods to a thicker wall,[]
296,EQ ID 296,Coping Machine,Shower Seats,20004,07/01/2026,1. Prod Stopped,Cylinder that brings coper in not working (Bryan talked to Jake and Jake is already working on it. Putting in maint request for record keeping).,Closed and Completed,0,0.25,"Jake, Steve T",Supervisor,0,07/30/2026 12:00 AM,Jake Demers - 08/11/26  4:02:26 AM: Adjusted cylinder,[]
5300,EQ ID 5300,Lincoln Welder,Shower Seats,18433,02/11/2026,1. Prod Stopped,Welder for shower seats crashed - will not move,Closed and Completed,0,0.15,Jake,Supervisor,0,02/11/2026 12:00 AM,Jake Demers - 02/11/26  5:15:25 AM: Robot was in singularity,[]
5300,EQ ID 5300,Lincoln Welder,Shower Seats,20025,07/06/2026,1. Prod Stopped,Laser welder down for SS assembly - Jeff already talked to Jake D and he is working on it (just reporting for documentation).,Closed and Completed,1500,1,Jake,Supervisor,8,07/07/2026 12:00 AM,,[]
5300,EQ ID 5300,Lincoln Welder,Shower Seats,20161,07/30/2026,1. Prod Stopped,Power fluctuations within the welder that is causing improper welds,Closed and Completed,0,0,Brian N,Supervisor,0,07/30/2026 12:00 AM,Jake Demers - 07/30/26  5:44:36 AM: Changed the weld tip and cleaned gas lens,[]
