equipment_id,equipment_eq_id,equipment_name,department,wo_id,date_notified,urgency,problem,status,material_cost,labor_time,work_performed_by,assigned_to,downtime_hours,completed_datetime,comments,attachments
5353,EQ ID 5353,Tenoner,Toilet Partitions,17515,10/29/2025,1. Prod Stopped,"The tenoner was having issues pulling pieces, which we diagnosed as most likely being the hold down wheels being too low. After raising them from 0.625"" to 0.635"" it was running smoother. Afterward the buffer wheels were determined to need swapping. The swap was performed and the tenoner was dialed in after multiple trial and error attempts. The hold down issue returned and was probably due to material warping. Tool left in tech mode to adjust hold down as needed.",Closed and Completed,0,4.5,Nicholas Angelo Jr. and Jordon Dunn,Maintenance,4.5,10/29/2025 09:00 PM,"Nicholas Angelo, Jr - 10/29/25  7:03:09 PM: Hold down issue most likely is due to the variability of the material and the effect the outdoors has on it when stored there. As for the dialing in of the buffer wheels, this took longer than expected to achieve acceptable finishes on the edges of test pieces. An email has been sent notifying all vested parties.",[]
1566,EQ ID 1566,1040 Holzma Horizontal Panel Saw,Toilet Partitions,7244,09/15/2023,6. General Maint,The fence is loose surrounding the 1040 Holzma saw that cuts particle board.,Closed and Completed,0,0,Jake,Maintenance,0,02/16/2024 12:00 AM,Jake Demers - 02/20/24  2:40:01 AM: 2 work orders for same issue open,[]
1566,EQ ID 1566,1040 Holzma Horizontal Panel Saw,Toilet Partitions,10437,02/19/2024,1. Prod Stopped,Saw will not operate.,Closed and Completed,5000,0,Jake D,Maintenance,6,02/19/2024 10:30 AM,Jake Demers - 02/20/24  2:38:04 AM: Main saw raise/lower air solenoid was bad,[]
5346,EQ ID 5346,Black Bros Glue Spreader,Toilet Partitions,16113,06/16/2025,1. Prod Stopped,Rollers locked up and would not spin. Ordered new part,Closed and Completed,600,8,Jake,Maintenance,16,06/18/2025 09:00 AM,,[]
5346,EQ ID 5346,Black Bros Glue Spreader,Toilet Partitions,16736,08/20/2025,4. Prod Continuing but Affected Equipment stopped,The scum sucker TPF uses needs repair. This is not the glue spreader as there was not a category for this. Please look at what can be done at your earliest convenience.,Closed and Completed,0,0,Jake D,Maintenance,0,08/18/2025 12:00 AM,,[]
5346,EQ ID 5346,Black Bros Glue Spreader,Toilet Partitions,20419,08/19/2026,"5. Prod Ongoing, Maint Required","The chain is getting loose, could we take a link out.",Closed and Completed,0,1,Jake,Maintenance,0,08/19/2026 12:00 AM,,[]
5366,EQ ID 5366,1080 HOMAG Horizontal Panel Saw,Toilet Partitions,19210,04/28/2026,"5. Prod Ongoing, Maint Required",scrap lift table is no longer functioning. it would go up but then slowly fall back down. now it wont work at all.,Closed and Completed,200,2,"Matt M, Jake D",Maintenance,0,05/05/2026 12:00 AM,Jake Demers - 05/26/26  1:57:21 AM: Rebuild Cylinders | Matt Miller - 05/05/26  6:47:19 AM: Hydraulic cylinders are both leaking. Reached out to manufacturer for replacement parts. Will install when they come in.,[]
327,EQ ID 327,Vertical Panel Saw,Toilet Partitions,13297,10/07/2024,"3. Prod Affected, Not Stopped",Operator stated the vertical saw is leaking oil out of the back side. He believes it is running very low on oil due to the leak. We do not want this to affect the function of it. Please take a look when someone is available.,Closed Without Action,0,0,Jake,Maintenance,0,10/29/2024 12:00 AM,Matt Miller - 06/19/25 11:55:00 AM: No leaks currently | Jake Demers - 10/29/24  4:21:22 AM: currently working with vendor on finding a crossover gearbox due to it being so old,[]
327,EQ ID 327,Vertical Panel Saw,Toilet Partitions,15269,04/02/2025,"5. Prod Ongoing, Maint Required",The orange beam on the vertical saw has been getting locked in the downward position. This happens a few times per day. Can someone please take a look at this when time permits. (Low priority),Closed Without Action,0,0,,Maintenance,0,04/23/2025 12:00 AM,Matt Miller - 04/23/25  3:23:41 AM: Duplicate WO,[]
327,EQ ID 327,Vertical Panel Saw,Toilet Partitions,15451,04/22/2025,"3. Prod Affected, Not Stopped","Beam will not release, valve is sticking.",Closed and Completed,0,0,,Maintenance,0,09/03/2025 12:00 AM,,[]
1760,EQ ID 1760,"Return System - 3/4"" 1080 Finishing",Toilet Partitions,16526,07/30/2025,"3. Prod Affected, Not Stopped","There is a transfer belt that broke, which is causing small doors to not transfer properly and fall on floor also causing extra work and remakes.",Closed and Completed,0,0,Rich,Maintenance,0,07/30/2025 12:00 AM,,[]
1760,EQ ID 1760,"Return System - 3/4"" 1080 Finishing",Toilet Partitions,17575,11/05/2025,4. Prod Continuing but Affected Equipment stopped,Return rollers are stuck and unable to spin on the return system in 1080.,Closed and Completed,0,0,"Rich, Jake",Supervisor,0,11/06/2025 12:00 AM,Jake Demers - 11/07/25  2:05:57 AM: Motor inside roller locked up. We removed the roller and will get a replacement for it,[]
1760,EQ ID 1760,"Return System - 3/4"" 1080 Finishing",Toilet Partitions,20174,07/31/2026,"3. Prod Affected, Not Stopped",The lift table at the end of the return system isn`t working.,Closed and Completed,0,0,Jake,Maintenance,0,08/05/2026 12:00 AM,,[]
313,EQ ID 313,"Return System - 1/2"" 1080 Finishing",Toilet Partitions,10375,02/16/2024,"3. Prod Affected, Not Stopped","Drive Belt is stretched out, not returning large pieces properly.",Closed Without Action,0,0,Jake,Maintenance,0,04/10/2024 12:00 AM,"Jake Demers - 04/10/24  9:27:33 AM: Spoke with operators they said this issue occurred with 96"" panels which unfortunately there is no solution to it other than getting a bigger return system",[]
313,EQ ID 313,"Return System - 1/2"" 1080 Finishing",Toilet Partitions,19729,06/06/2026,"3. Prod Affected, Not Stopped",The drive belts on the return system need to be replaced as they are extremely worn.,Closed and Completed,100,1,Jake,Supervisor,0,06/10/2026 12:00 AM,,[]
313,EQ ID 313,"Return System - 1/2"" 1080 Finishing",Toilet Partitions,20379,08/14/2026,"3. Prod Affected, Not Stopped",Machine keeps shutting down. Can this be looked at first thing Monday morning.,Closed and Completed,20,0,Jake,Maintenance,0,08/17/2026 12:00 AM,Jake Demers - 08/19/26  8:01:05 AM: Contact in the emergency stop was bad,[]
5303,EQ ID 5303,Anver Lift,Toilet Partitions,12375,07/15/2024,"3. Prod Affected, Not Stopped",Anver lift filter is plugged making it hard to pick up pieces,Closed and Completed,0,0,Kyle,Maintenance,0,07/15/2024 12:00 AM,Jake Demers - 07/15/24  7:09:13 AM: Cleaned out the filter,[]
5303,EQ ID 5303,Anver Lift,Toilet Partitions,13019,09/10/2024,"3. Prod Affected, Not Stopped",Lift in 1040 cell will not lift panels correctly.,Closed and Completed,0,0,Beaton,Maintenance,0,09/12/2024 12:00 PM,Matt Miller - 09/12/24  3:20:45 AM: Found leak in vacuum hose | Jake Demers - 09/11/24  2:50:15 AM: Contacting Beaton to come in and inspect,[]
5303,EQ ID 5303,Anver Lift,Toilet Partitions,13760,11/11/2024,"3. Prod Affected, Not Stopped",Vacuum lift in 1080 Cell which was just inspected has a crack in one of the hoses which is not allowing operator to pick up pieces.,Closed and Completed,0,0,Matt M,Maintenance,0,12/12/2024 12:00 AM,"Matt Miller - 12/12/24 10:38:03 AM: Replaced 2"" fernco coupler",[]
5303,EQ ID 5303,Anver Lift,Toilet Partitions,15623,05/05/2025,1. Prod Stopped,The Anver Lift at the glue spreader will not pick up any parts.,Closed and Completed,0,0,Jake,Maintenance,0,05/05/2025 12:00 AM,Jake Demers - 05/05/25  6:55:16 AM: Lift was not adjusted properly,[]
5303,EQ ID 5303,Anver Lift,Toilet Partitions,19261,04/30/2026,"5. Prod Ongoing, Maint Required",The vac lift in the 1040 cell needs attention as its having difficulty lifting large panels up from the finishing table.,Closed and Completed,0,0,Kyle W,Supervisor,0,04/30/2026 12:00 AM,Matt Miller - 04/30/26 10:32:45 AM: changed filter,[]
5303,EQ ID 5303,Anver Lift,Toilet Partitions,19589,05/27/2026,"3. Prod Affected, Not Stopped",The lift in HPL Cell is failing to lift large panels.,Closed and Completed,500,2,Jake,Maintenance,0,05/29/2026 12:00 AM,Jake Demers - 06/01/26  1:59:39 AM: Unit was full of packed dust over the years. Also replaced lift hose as it was starting to dry rot,[]
