equipment_id,equipment_eq_id,equipment_name,department,wo_id,date_notified,urgency,problem,status,material_cost,labor_time,work_performed_by,assigned_to,downtime_hours,completed_datetime,comments,attachments
5383,EQ ID 5383,Auto Peener,Tube Mill,20454,08/21/2026,"3. Prod Affected, Not Stopped","Light curtain frame moves causing light curtain to come out of alignment.
Recommend adding post that goes from outer edge of left and right light curtain mounts to bolt to the floor so eliminates movement.",Pending,0,0,,Maintenance,0,,,[]
5383,EQ ID 5383,Auto Peener,Tube Mill,19371,05/12/2026,2. General Maint - High Priority,Auto peener is spraying out peen long after the door is open resulting in hitting the operator.,Closed and Completed,0,1,Michael Nygard,Maintenance,0,05/14/2026 02:00 PM,Michael Nygard - 05/14/26 11:19:42 AM: Modified Software.,[]
5367,EQ ID 5367,Finishing System,Tube Mill,16155,06/19/2025,"3. Prod Affected, Not Stopped",Left side(closer to peener) of the lift table isnt fully raising to lift the tube onto the conveyor that runs tube into finishing unit. Anything over 39.5 inches will not catch to lift.,Closed and Completed,0,0,Matt M,Maintenance,0.5,06/19/2025 12:00 PM,"Matt Miller - 06/19/25 10:39:17 AM: Bolts fell out due to vibration in lift table, re-tapped and installed new bolts.",[]
5367,EQ ID 5367,Finishing System,Tube Mill,18183,01/14/2026,"5. Prod Ongoing, Maint Required",When we cut a new opening in the main duct for the new finisher it was nearly completely blocked with debris to the point where we had to take  handfuls out so air flow was possible. Please check and see if this should be cleaned/replaced.,Closed and Completed,0,0,"Jake D, Anthony T",Supervisor,1,01/14/2026 12:00 AM,Matt Miller - 01/14/26  4:19:57 AM: 1/2 of the ductwork going into dust collector was completely blocked. Needs to be cleaned and re-sealed.,[]
5295,EQ ID 5295,Bossi Seam Grinder,Tube Mill,12787,08/15/2024,1. Prod Stopped,Part on Bossi needs hole drilled into it - production stopped until replaced,Closed and Completed,0,0,Jake,Supervisor,2,08/16/2024 12:00 AM,,[]
5295,EQ ID 5295,Bossi Seam Grinder,Tube Mill,13915,11/25/2024,"5. Prod Ongoing, Maint Required",Need wire connection that allows operators to start Bossi from main control like the previous Bossi.,Closed and Completed,0,0,"Jake D, Mike N, Matt M",Supervisor,0,01/27/2025 12:00 AM,"Matt Miller - 01/27/25 10:44:50 AM: Replaced bad bearings, still have 1 spare set",[]
5295,EQ ID 5295,Bossi Seam Grinder,Tube Mill,15468,04/22/2025,2. General Maint - High Priority,Bossi does not stop when Tube Mill E-Stop is pressed.,Closed Without Action,0,0,"Jake, Dan",Supervisor,0,04/22/2025 12:00 AM,Jake Demers - 04/22/25 12:55:45 PM: The E-Stops are working properly. It shuts the mill and Bossi off while pressed,[]
5295,EQ ID 5295,Bossi Seam Grinder,Tube Mill,16257,06/30/2025,"3. Prod Affected, Not Stopped",Bossi door will not open all the way on it's own,Closed Without Action,0,0,,Supervisor,0,07/01/2025 12:00 AM,Matt Miller - 07/01/25  4:46:53 AM: Informed Taylor and Tube Mill Operators that this machine needs to be cleaned more frequently to prevent any more damage to it's components.,[]
5295,EQ ID 5295,Bossi Seam Grinder,Tube Mill,16399,07/15/2025,6. General Maint,Need hose installed for daily Bossi cleaning,Closed and Completed,0,0,Jake D,Supervisor,0,10/03/2025 12:00 AM,,[]
5317,EQ ID 5317,Robot - Tubing Stacker,Tube Mill,15324,04/08/2025,4. Prod Continuing but Affected Equipment stopped,Robot not stacking,Closed and Completed,100,0,"Jake, Dan",Supervisor,0,04/10/2025 12:00 AM,Jake Demers - 04/10/25  1:14:01 PM: Hoses and fittings were leaking Vacuum and needed replacing,[]
5317,EQ ID 5317,Robot - Tubing Stacker,Tube Mill,15716,05/12/2025,4. Prod Continuing but Affected Equipment stopped,"Robot is not stacking any tubing below 24""",Closed and Completed,0,0,Jake,Supervisor,0,05/13/2025 12:00 AM,Jake Demers - 05/19/25  3:57:55 AM: Every size is needed to be touched up point wise. Fixing this issue whenever operator changes sizes,[]
5317,EQ ID 5317,Robot - Tubing Stacker,Tube Mill,17284,10/14/2025,"5. Prod Ongoing, Maint Required",Kicktable arm not consistently kicking tubing into correct place.,Closed and Completed,0,0,Matt M,Supervisor,0,10/16/2025 12:00 AM,"Matt Miller - 10/17/25  4:46:27 AM: Spoke with Operator, states that there is no issue with kick table. It is an adjustment to the position of the conveyor that they will make changes to.",[]
5317,EQ ID 5317,Robot - Tubing Stacker,Tube Mill,17283,10/14/2025,"5. Prod Ongoing, Maint Required",Additional tilt to tilt table so the tubing will fall down into place correctly for the robot.,Closed Without Action,0,0,,Supervisor,0,11/25/2025 12:00 AM,,[]
5317,EQ ID 5317,Robot - Tubing Stacker,Tube Mill,17282,10/14/2025,"5. Prod Ongoing, Maint Required",Need locks added to tubing cart wheels that don't currently have them.,Closed Without Action,0,0,,Supervisor,0,03/03/2026 12:00 AM,,[]
5315,EQ ID 5315,Duo-Cut Head #1,Tube Mill,11774,05/21/2024,"5. Prod Ongoing, Maint Required","Die accelerator very loose- bolts on top were tightened by operator, but screws underneath need tightening as well.",Closed and Completed,0,0,"Matt M, Jake D",Supervisor,0,02/14/2025 12:00 AM,,[]
5314,EQ ID 5314,Un-coiler,Tube Mill,11087,04/11/2024,"5. Prod Ongoing, Maint Required","Uncoiler is not parallel to tube mill, causing coil to feed into mill at an angle.",Closed and Completed,0,0,Matt M,Supervisor,0,06/25/2024 06:00 AM,Matt Miller - 06/26/24  3:15:32 AM: Angle of uncoiler is not causing any issues,[]
5314,EQ ID 5314,Un-coiler,Tube Mill,13028,09/10/2024,"5. Prod Ongoing, Maint Required",Repair broken uncoiler arms,Closed and Completed,0,0,Matt M,Maintenance,0,09/11/2024 12:00 AM,,[]
5314,EQ ID 5314,Un-coiler,Tube Mill,14763,02/19/2025,"3. Prod Affected, Not Stopped","Uncoiler won't expand or retract on one side- production still running but can only use one side of the uncoiler, which is slowing down production.",Closed and Completed,0,0,"Dan, Anthony, Jake",Supervisor,0,02/20/2025 12:00 AM,Jake Demers - 02/20/25  5:45:44 AM: Tightened screws holding the finger on,[]
5287,EQ ID 5287,Toyota Forklift (Tube Mill),Tube Mill,17922,12/11/2025,"5. Prod Ongoing, Maint Required",Forklift needs to be serviced – will be using and then suddenly it stops working,Closed Without Action,0,0,Thompson & Johnson,Maintenance,0,12/12/2025 12:00 AM,Jake Demers - 12/15/25 12:19:10 PM: Technician came in and didn't find any issues,[]
5030,EQ ID 5030,Eisele Cut Saw (For Specials and 3588-33),Tube Mill,10323,02/12/2024,1. Prod Stopped,Foot pedal for KMT saw by the peener not working.,Closed and Completed,0,0,Jake,Supervisor,0,02/13/2024 12:00 AM,,[]
5030,EQ ID 5030,Eisele Cut Saw (For Specials and 3588-33),Tube Mill,13235,09/30/2024,6. General Maint,Create shield for around deburr table to prevent chips from getting in the long length tubing- causing scratches in the tube.,Closed and Completed,0,0,Matt M,Maintenance,0,02/14/2025 12:00 AM,"Matt Miller - 12/12/24 10:41:23 AM: Found a pre-fab enclosure for the bench grinder, waiting on them to provide a lead time and then I will purchase.",[]
5294,EQ ID 5294,Burr-master,Tube Mill,13027,09/10/2024,"5. Prod Ongoing, Maint Required",Need peg welded onto covers for brushes,Closed and Completed,0,0,Matt M,Maintenance,0,09/19/2024 12:00 AM,Matt Miller - 09/19/24  1:17:22 PM: All spare parts for burrmaster have been received. | Matt Miller - 09/11/24  5:26:55 AM: Covers and other parts have been ordered for the burrmaster.,[]
5291,EQ ID 5291,Deep Bed Filter (Main Coolant Tank),Tube Mill,12885,08/27/2024,"5. Prod Ongoing, Maint Required",Main coolant tank has a leak underneath,Closed Without Action,2000,0,Matt M,Supervisor,0,09/11/2024 12:00 AM,"Jake Demers - 09/11/24  2:43:31 AM: multiple work orders for the same issue | Matt Miller - 09/04/24 11:22:39 AM: Replacement Carbon Steel Coolant Tank has been ordered 9/5/24. Will ship this week. | Matt Miller - 08/29/24 12:26:03 PM: Lifted coolant basin, discovered the bottom is very rusted and starting to rot. New replacement is $2,000 but waiting for them to forward quote so we can proceed with ordering.",[]
5291,EQ ID 5291,Deep Bed Filter (Main Coolant Tank),Tube Mill,13025,09/10/2024,"5. Prod Ongoing, Maint Required",Replace coolant tank - spare tank is in.,Closed and Completed,0,0,"Matt, Jake",Maintenance,0,09/26/2024 12:00 AM,,[]
5289,EQ ID 5289,Ytterbium Laser System,Tube Mill,12597,07/31/2024,"5. Prod Ongoing, Maint Required","The underneath of the back weld roll is still spinning, which is causing the tubing for the chiller to twist and come loose and leak inside the weld box.",Closed and Completed,0,0,Jake D,Supervisor,0,09/11/2024 12:00 AM,,[]
5288,EQ ID 5288,Shearwelder,Tube Mill,10862,03/28/2024,"5. Prod Ongoing, Maint Required",The motor that turns the drivebelt is not spinning. Operator can still butt-weld by moving manually.,Closed and Completed,0,0,Jake D,Maintenance,0,03/29/2024 12:00 AM,"Jake Demers - 03/29/24  2:48:19 AM: In the process of looking into a new door, Door will not fall off with these bolts missing",[]
