equipment_id,equipment_eq_id,equipment_name,department,wo_id,status,material_cost,labor_time,work_performed_by,assigned_to,downtime_hours,completed_datetime,comments,attachments,audit_item,due_date
1211,EQ ID 1211,Shrink Wrap Machine with Integrated Scale,Shipping,17733,Pending,0.00,0.00,,Maintenance Mechanic,0.00,,Sean Jennings - 06/05/26 10:21:36 AM: Team please review.,[],Lube rollers and chain if needed to prevent or remove the squeek the wheels make when dry .,12/18/2025
1211,EQ ID 1211,Shrink Wrap Machine with Integrated Scale,Shipping,721,Closed and Completed,0.00,0.20,Mike diaz,,0.00,4/18/2022,Miguel Diaz - 04/19/22  7:11:17 AM: Lubed rollers,[],Lube rollers and chain if needed to prevent or remove the squeek the wheels make when dry .,4/18/2022
1211,EQ ID 1211,Shrink Wrap Machine with Integrated Scale,Shipping,2764,Closed and Completed,0.00,0.10,md,,0.00,12/9/2022,Miguel Diaz - 12/09/22 12:06:50 PM: lubed rollers,[],Lube rollers and chain if needed to prevent or remove the squeek the wheels make when dry .,11/13/2022
1211,EQ ID 1211,Shrink Wrap Machine with Integrated Scale,Shipping,3552,Closed and Completed,0.00,0.50,md,,0.00,2/6/2023,,[],Lube rollers and chain if needed to prevent or remove the squeek the wheels make when dry .,1/9/2023
1211,EQ ID 1211,Shrink Wrap Machine with Integrated Scale,Shipping,4317,Closed and Completed,0.00,0.00,md,,0.00,3/17/2023,Miguel Diaz - 03/20/23 12:58:07 PM: Done,[],Lube rollers and chain if needed to prevent or remove the squeek the wheels make when dry .,3/10/2023
1211,EQ ID 1211,Shrink Wrap Machine with Integrated Scale,Shipping,4931,Closed and Completed,0.00,0.20,MIKE,,0.00,5/12/2023,"Miguel Diaz - 05/12/23 11:32:40 AM: Inspect the Laminate process/machinery from saw all the way to finish good for chips, dents, and scratches
*Check that no machine covers are sticking up that could be in the way of the passing parts on the  edge bander
*Check tape on edge bander return system transition .
*Check Pop up table stopper to have rubber in front of it 
*Check tape on end cover of the return system 
*Check for Glue spreader infeed table stile supports rounded edges 
*Check rubber on Yellow L brackets .
*Check Edge trimmer electrical board to be covered with Rubber 
*Check tape on return system transition 
*Check wheels stopper to have rubber in the front 
*Check pop up table stile staging area replace rubber if needed .
*Check 1540 door notcher to have rounded edges and rubber on table top 
*Check stile clamp to have rounded edges and not sharp also blow down table top ,wipe and spray with silicone spray 
*Check Gannomatt machine it should  not have  hardware sticking up past the table top blow down table top  and wipe and spray with silicone spray ..",[],Lube rollers and chain if needed to prevent or remove the squeek the wheels make when dry .,4/20/2023
1211,EQ ID 1211,Shrink Wrap Machine with Integrated Scale,Shipping,5664,Closed and Completed,0.00,0.30,mike d,,0.00,7/5/2023,Miguel Diaz - 07/05/23  7:45:23 AM: lubed rollers,[],Lube rollers and chain if needed to prevent or remove the squeek the wheels make when dry .,6/12/2023
1211,EQ ID 1211,Shrink Wrap Machine with Integrated Scale,Shipping,6298,Closed and Completed,0.00,0.00,mike d,,0.00,8/3/2023,Miguel Diaz - 08/03/23  6:48:53 AM: lubed rollers,[],Lube rollers and chain if needed to prevent or remove the squeek the wheels make when dry .,8/5/2023
1211,EQ ID 1211,Shrink Wrap Machine with Integrated Scale,Shipping,6694,Closed and Completed,0.00,0.40,Max Mike d,,0.00,9/11/2023,Miguel Diaz - 09/11/23  8:32:55 AM: gate closing properly,[],Lube rollers and chain if needed to prevent or remove the squeek the wheels make when dry .,9/3/2023
1211,EQ ID 1211,Shrink Wrap Machine with Integrated Scale,Shipping,7162,Closed and Completed,0.00,0.00,md,,0.00,11/8/2023,Miguel Diaz - 11/08/23 12:57:07 PM: lubed chain and rollers,[],Lube rollers and chain if needed to prevent or remove the squeek the wheels make when dry .,10/11/2023
