equipment_id,equipment_eq_id,equipment_name,department,wo_id,status,material_cost,labor_time,work_performed_by,assigned_to,downtime_hours,completed_datetime,comments,attachments,audit_item,due_date
2139,EQ ID 2139,Margarita Machine,Soap Dispenser Assembly,1019,Closed and Completed,0.00,0.20,PU,,0.00,11/21/2022,Primo Uy - 11/21/22  7:59:27 AM: Done,[],"*Check the condition of the jaws
*Check Air Pressure
*Check door safety device",9/18/2022
2139,EQ ID 2139,Margarita Machine,Soap Dispenser Assembly,3314,Closed and Completed,0.00,0.20,PU,,0.00,5/19/2023,Primo Uy - 05/22/23  7:46:01 AM: Done,[],"*Check the condition of the jaws
*Check Air Pressure
*Check door safety device",5/21/2023
2139,EQ ID 2139,Margarita Machine,Soap Dispenser Assembly,5740,Closed and Completed,0.00,0.20,PU,,0.00,11/21/2023,Primo Uy - 01/12/24  9:32:29 AM: Done.  Late update.,[],"*Check the condition of the jaws
*Check Air Pressure
*Check door safety device",11/22/2023
2139,EQ ID 2139,Margarita Machine,Soap Dispenser Assembly,9702,Closed and Completed,0.00,0.00,PU,,0.00,7/12/2024,Primo Uy - 08/05/24 10:21:23 AM: Done,[],"*Check the condition of the jaws
*Check Air Pressure
*Check door safety device",7/12/2024
2139,EQ ID 2139,Margarita Machine,Soap Dispenser Assembly,12629,Closed and Completed,0.00,0.00,md,,0.00,3/12/2025,Miguel Diaz - 03/12/25  8:32:05 AM: added this equipment to the correct department we no longer have assembly as a department,[],"*Check the condition of the jaws
*Check Air Pressure
*Check door safety device",2/5/2025
2139,EQ ID 2139,Margarita Machine,Soap Dispenser Assembly,15035,Closed and Completed,0.00,0.20,PU,,0.00,9/12/2025,Primo Uy - 09/12/25  8:27:53 AM: Done,[],"*Check the condition of the jaws
*Check Air Pressure
*Check door safety device",9/12/2025
2139,EQ ID 2139,Margarita Machine,Soap Dispenser Assembly,16986,Closed and Completed,0.00,0.00,PU,,0.00,3/12/2026,Primo Uy - 04/09/26  1:17:05 PM: Not in Service,[],"*Check the condition of the jaws
*Check Air Pressure
*Check door safety device",3/12/2026
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,15,Closed and Completed,0.00,0.50,Primou,,0.00,4/18/2022,Primo Uy - 04/18/22 12:56:55 PM: Done.,[],Check Follower Head for glue buildup it should swivel easily,4/18/2022
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,16,Closed and Completed,0.00,0.40,PU,,0.00,9/1/2022,Primo Uy - 09/01/22 12:02:11 PM: Done,[],"(1) Clean and lube moving parts;
(2) Check and tighten all screws. Check sensor",9/18/2022
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,2590,Closed without Action,0.00,0.00,PU,,0.00,11/8/2022,Primo Uy - 11/08/22  2:56:28 PM: N/A. Replaced by a robotic arm.,[],Check Follower Head for glue buildup it should swivel easily,11/13/2022
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,3178,Closed without Action,0.00,0.00,PU,,0.00,12/7/2022,Primo Uy - 12/07/22  9:40:41 AM: the machine was replaced by the Robotic Arm. Will ask ME/IT to update the PM.,[],Check Follower Head for glue buildup it should swivel easily,12/8/2022
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,3507,Closed and Completed,0.00,0.00,PU,,0.00,1/11/2023,Primo Uy - 01/11/23  9:35:58 AM: Obsolete,[],Check Follower Head for glue buildup it should swivel easily,1/7/2023
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,3905,Closed without Action,0.00,0.00,PU,,0.00,2/9/2023,Primo Uy - 02/09/23  9:39:42 AM: Obsolete. Replaced with a Robotic Arm.,[],Check Follower Head for glue buildup it should swivel easily,2/11/2023
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,4291,Closed without Action,0.00,0.00,PU,,0.00,3/8/2023,Primo Uy - 03/08/23  2:06:27 PM: OBSOLETE,[],Check Follower Head for glue buildup it should swivel easily,3/9/2023
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,14,Closed and Completed,0.00,0.20,PU,,0.00,3/20/2023,Primo Uy - 03/20/23  7:14:21 AM: Done,[],Check hoses and rubber parts (replace as needed),3/18/2023
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,4732,Closed without Action,0.00,0.00,PU,,0.00,4/5/2023,Primo Uy - 04/05/23  7:54:06 AM: Replaced by the 4112 Glue Robotic Arm. This should be in OBSOLETE... ME need to update machine status.,[],Check Follower Head for glue buildup it should swivel easily,4/8/2023
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,2591,Closed without Action,0.00,0.00,PU,,0.00,4/11/2023,Primo Uy - 04/12/23  8:02:02 AM: Obsolete. Replace by Robotic Arm,[],"(1) Clean and lube moving parts;
(2) Check and tighten all screws. Check sensor",4/13/2023
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,5156,Closed without Action,0.00,0.00,PU,,0.00,5/2/2023,Primo Uy - 05/02/23 10:10:04 AM: OBSOLETE.,[],Check Follower Head for glue buildup it should swivel easily,5/5/2023
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,5527,Closed without Action,0.00,0.00,PU,,0.00,6/1/2023,Primo Uy - 06/01/23  7:26:03 AM: Not in service. Scrap.,[],Check Follower Head for glue buildup it should swivel easily,6/2/2023
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,5849,Closed without Action,0.00,0.00,PU,,0.00,6/30/2023,Primo Uy - 07/05/23  7:07:49 AM: Machine no longer in service.,[],Check Follower Head for glue buildup it should swivel easily,7/1/2023
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,6293,Closed without Action,0.00,0.00,PU,,0.00,7/25/2023,Primo Uy - 07/25/23  7:37:32 AM: Obsolete.,[],Check Follower Head for glue buildup it should swivel easily,8/5/2023
