equipment_id,equipment_eq_id,equipment_name,department,wo_id,date_notified,urgency,problem,status,material_cost,labor_time,work_performed_by,owner,assigned_to,downtime_hours,completed_datetime,comments,attachments
5393,EQ ID 5393,Foam Soap Dispensers (at sinks),Maintenance,19958,06/25/2026,2. General Maint - High Priority,soap dispenser closest to women's restroom for the 1st floor restrooms has a broken hinge mechanism and needs to be replaced whenever possible. Engineering has given the okay.,Closed and Completed,0,0.38,PU,,,0,06/25/2026 12:00 AM,Primo Uy - 06/25/26 12:05:29 PM: Reset CB and we will leave the two MW run as is and see if it trip again.,[]
5390,EQ ID 5390,Office Chairs,Maintenance,19799,06/10/2026,2. General Maint - High Priority,"My chair, can't be raised; it is stuck at the lowest level and won't adjust.",Closed and Completed,0,0.3,"Shinobi,PU",,,0,06/10/2026 12:00 AM,,[]
5390,EQ ID 5390,Office Chairs,Maintenance,19894,06/18/2026,6. General Maint,Office chair arm needs replacement,Closed and Completed,0,0.25,PU,,,0,06/18/2026 12:00 AM,Primo Uy - 06/18/26 11:37:13 AM: Done. Replaced L hand arm padding.,[]
36,EQ ID 36,Air compressor 75 HP,Maintenance,1084,04/08/2022,4. Prod Continuing but Affected Equipment stopped,TPF employees advised machines stopped running advising low air pressure,Closed and Completed,0,0.2,Primo Uy,,,0.1,04/08/2022 12:00 AM,"Miguel Diaz - 04/08/22  2:15:16 PM: Shut off main air compressor and turned on the back up .
Suggest now that its hot we need to turn on the Fan so it can help cool off the air compressor on hot sunny days like today .",[]
36,EQ ID 36,Air compressor 75 HP,Maintenance,2329,09/06/2022,"3. Prod Affected, Not Stopped",Compressor shuts down advising to change separator,Closed and Completed,2307,4,Ingersol rand Tech,,,0,09/22/2022 12:00 AM,Miguel Diaz - 09/22/22 12:28:24 PM: Major service has been completed | Miguel Diaz - 09/20/22  8:08:44 AM: Tech is scheduled to come out  this Thursday 9-22-22 to do a major pm service on the 75 HP unit see attachment to view cost of parts and job if needed . | Miguel Diaz - 09/07/22  1:58:16 PM: Ingersoll-Rand is ordering the part (Separator ) When the part  comes in then the tech will be scheduled to come in . | Miguel Diaz - 09/06/22 10:19:31 AM: Reached out to Ingersoll rand for support with change separator shutdown .Waiting for quote so i can reply verbally approved to get them scheduled  .,"[{'name': 'Air compressor 75 hp PO REC LA00041681.pdf', 'url': 'https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/110?guid=e17e3213-ad42-4155-8ea2-6909b46b7b36'}]"
36,EQ ID 36,Air compressor 75 HP,Maintenance,3969,01/13/2023,2. General Maint - High Priority,this morning when turning on the Main air compressor i found it leaking oil from the oil filter,Closed and Completed,0,0.5,Mike max,,,0,01/13/2023 12:00 AM,"Miguel Diaz - 01/13/23  9:31:36 AM: Found oil filter leaking immediately turned compressor off and checked why its leaking I found the filter loose tighten filter by hand then used a belt to turn it over tight .The oil leaked down to a pan that Bart had added years ago the pan is full of oil .Also the oil level is at the low mark but on the green .I will bring this up to the tech when he is here this Monday 1-23-23 @ 8am .
Max and I have  removed the oil from the pan . | Miguel Diaz - 01/13/23  9:18:44 AM: Found oil filter leaking immediately turned compressor off and checked why its leaking I found the filter loose tighten filter by hand then used a belt to turn it over tight  .The oil leaked down to a pan that Bart had added years ago the pan is full of oil .Also the oil level is at the  low mark but on the green .I will bring this up to the tech when he is here this Monday 1-23-23 @ 8am .We will remove the oil from the pan .",[]
36,EQ ID 36,Air compressor 75 HP,Maintenance,3754,12/28/2022,2. General Maint - High Priority,Main air compressor still showing advisory to change separator and CN8 shut down .,Closed and Completed,3742.59,8,Dave Bohannan IR Tech,,,0,02/15/2023 12:00 AM,"Miguel Diaz - 05/12/23 11:25:48 AM: Final cost is in . | Miguel Diaz - 02/23/23  6:32:34 AM: Tech was called back in to look at the issue I reported the check valve was making a loud  clicking noise that does not sound normal .He showed back up yesterday 2-22-23 and did hear the noise i described  but also found the air compressor ramping up past the set PSI of 120 it was going up to 140 PSI which it should not .After troubleshooting he found a diaphragm housing wit a  missing O-ring  .He replaced the O-ring and machine was back online .Air compressor is  back in service work order will stay open till final cost is in for yesterdays repairs . | Miguel Diaz - 02/16/23  8:00:58 AM: Tech replaced the Minimal pressure CV and 2 press transducers. Unit was left on last night it worked without   issues .Closing work order .
LA044576 | Miguel Diaz - 02/15/23 10:39:28 AM: Tech is on his way over now for the repairs instead of Monday 2-20-23 | Miguel Diaz - 02/14/23  8:10:16 AM: Ingersoll rand is coming out this Monday 2-20-23 for the repairs @ 8:30 am . | Miguel Diaz - 12/28/22  9:11:24 AM: Reached out to Ingersoll-Rand they provided a quote to change the press sensors ,calibrate ,rebuild the MPCV ,check out wiring for CN8 , and all control wire connections .Quote was approved by management . Parts are on order No ETA available currently .Attached is the quote for the service PO Rec is LA044576.","[{'name': 'Main air compressor change seperator repairs quote 12-28-22.pdf', 'url': 'https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/187?guid=ff5fda27-26e5-4067-8219-caa36b825653'}]"
36,EQ ID 36,Air compressor 75 HP,Maintenance,13080,09/11/2024,2. General Maint - High Priority,Ingersol rand was brought in to troubleshoot why all three units have stopped working .,Closed and Completed,1100,3,Ingersol rand,,,0,09/11/2024 12:00 AM,Miguel Diaz - 09/17/24  8:33:12 AM: Maint fixed the issues in house but wanted a second opinion,[]
36,EQ ID 36,Air compressor 75 HP,Maintenance,15237,04/01/2025,2. General Maint - High Priority,The oil gage on 75 H/P Compressor shows low oil,Closed and Completed,50,1,Gabriel & Max,,,0,04/01/2025 01:30 PM,Maksim Bushka - 04/01/25  1:28:23 PM: Added 1.5-gallon oil,[]
36,EQ ID 36,Air compressor 75 HP,Maintenance,15326,04/07/2025,6. General Maint,major service,Closed and Completed,3805,2.5,Ingersoll Rand tech,,,0,04/07/2025 02:30 AM,Gabriel Shinobi - 04/08/25  1:16:10 PM: Ingersoll Rand tech performed major service. Completed.,[]
36,EQ ID 36,Air compressor 75 HP,Maintenance,16177,06/20/2025,2. General Maint - High Priority,The oil gage is not working,Closed and Completed,300,0.3,Max,,,0,06/21/2025 10:00 AM,Maksim Bushka - 06/21/25  9:17:41 AM: Replaced the oil gage,"[{'name': '23.jpg', 'url': 'https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/784?guid=a5e73efa-bd68-4a38-b9ea-6b143e933d12'}, {'name': '27.jpg', 'url': 'https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/785?guid=a5e73efa-bd68-4a38-b9ea-6b143e933d12'}, {'name': '26.jpg', 'url': 'https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/786?guid=a5e73efa-bd68-4a38-b9ea-6b143e933d12'}, {'name': '24.jpg', 'url': 'https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/787?guid=a5e73efa-bd68-4a38-b9ea-6b143e933d12'}, {'name': '25.jpg', 'url': 'https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/788?guid=a5e73efa-bd68-4a38-b9ea-6b143e933d12'}]"
5377,EQ ID 5377,40HP Oil-injected Screw Air Compressor,Maintenance,19827,06/11/2026,6. General Maint,Hello team. Please replace the oil/ water separator filters. There should be the floating one inside the container and the larger one that attaches to the back on the container. Thank you,Closed and Completed,0,0.5,Max,,,0,06/18/2026 12:00 AM,,[]
5240,EQ ID 5240,2nd Floor Patio,Maintenance,8100,11/21/2023,2. General Maint - High Priority,Management advised the planters are leaking water onto the floor pavers,Closed and Completed,0,0.5,"Gardner M,ike Max",,,0,11/21/2023 12:00 AM,Miguel Diaz - 11/21/23 11:04:16 AM: Gardner helped us find the valve for the 2 nd floor patio which is the first box closest to the smoking benches he advised the solenoid was open he manually close the valve opened it then adjusted the solenoid and the water stopped leaking .Basically it was out of adjustment .,[]
5239,EQ ID 5239,AC VAV Valves,Maintenance,7304,09/20/2023,"5. Prod Ongoing, Maint Required",Max had to shut off ball valve to VAV in the lunch room because it was leaking a while back .,Closed and Completed,990,4,Acco tech Josh,,,0,09/19/2023 12:00 AM,Miguel Diaz - 10/20/23 11:53:54 AM: Cost is in to close out this work order | Miguel Diaz - 09/20/23  9:48:13 AM: Acco came by yesterday and replaced the ball valve and fittings .Valve is back open and water is flowing to the VAV work order will stay open till final cost is in .,[]
5239,EQ ID 5239,AC VAV Valves,Maintenance,11515,05/03/2024,2. General Maint - High Priority,One of the VAV's in the lunch room is leaking water onto the floor .,Closed and Completed,340,0,Acco tech Allan,,,0,09/02/2024 12:00 AM,"Miguel Diaz - 09/17/24  8:30:31 AM: New battery has been put in the lift comes with 5 year Warranty .
Model 24-85n-19 Make IBE S/N 5519 | Miguel Diaz - 05/08/24  6:05:43 AM: Acco tech was here yesterday and found that a union was loose .When he closed the valve manually it started leaking .After tightening the union the leak stopped .Next time if we have a leaking VAV we need to close the valve watch where the leak is coming from And tighten the hardware before calling ACCO .Work order will stay open till final cost is in . | Miguel Diaz - 05/04/24  7:20:38 AM: A bucket and signs have been placed under the drip Acco will be here Tuesday to look at it .",[]
5212,EQ ID 5212,Exhaust #6 First floor line 5 glue fumes exhaust,Maintenance,5169,04/06/2023,2. General Maint - High Priority,Exhaust is making the roof shake a little employees are complaining they hear vibrations from the roof .,Closed and Completed,4545,5,Acco tech,,,0,05/12/2023 12:00 AM,"Miguel Diaz - 05/12/23 11:25:21 AM: Final cost is in . | Miguel Diaz - 04/06/23  7:38:35 AM: Looked into this issue found exhaust fan #6 not working smoothly almost as if the bearings at worn out we add grease and its still the same .
Called in ACCO for service tech Chris advised he needs to replace several parts Motor was replaced along with the shaft , bearings and springs .Unit is running smoothly now work order will stay open till final cost is in .",[]
