equipment_id,equipment_eq_id,equipment_name,department,wo_id,date_notified,urgency,problem,status,material_cost,labor_time,work_performed_by,downtime_hours,completed_datetime,comments,attachments
1211,EQ ID 1211,Shrink Wrap Machine with Integrated Scale,Shipping,1302,05/05/2022,4. Prod Continuing but Affected Equipment stopped,Employee reported film assist is not working and rips,Closed and Completed,0,0.4,Mike Bart,0,05/05/2022 12:00 AM,Miguel Diaz - 05/05/22  1:43:23 PM: Found film assist sensor moved and not reading the metal roller in place adjusted sensor height and replaced missing nut .,[]
1211,EQ ID 1211,Shrink Wrap Machine with Integrated Scale,Shipping,1924,07/14/2022,4. Prod Continuing but Affected Equipment stopped,Employee advised the shrink wrap machine does not run on .,Closed and Completed,0,0.5,MIKE Primo,0,07/14/2022 12:00 AM,"Miguel Diaz - 07/14/22  1:41:21 PM: Found emergency switch disconnected from the inside  along with a hot wire .
Please advise all new operators not to rotate the emergency switch to stop press in and to release 1/4 turn releases it this was turned over several times",[]
1211,EQ ID 1211,Shrink Wrap Machine with Integrated Scale,Shipping,1932,07/14/2022,1. Prod Stopped,The Shrink wrap machine was not operating.  It has since been fixed.  This work order can be closed.,Closed Without Action,0,0,MD & PU,0,07/14/2022 12:00 AM,Primo Uy - 07/15/22 12:34:24 PM: Have UWO made yesterday and was already fixed or closed. Shrink Wrap is working fine.,[]
1211,EQ ID 1211,Shrink Wrap Machine with Integrated Scale,Shipping,2513,10/05/2022,"3. Prod Affected, Not Stopped",the turntable will not spin.,Closed and Completed,120,1.2,Mike Diaz,0,10/05/2022 12:00 AM,Miguel Diaz - 10/05/22  1:05:55 PM: Replaced belt,[]
1211,EQ ID 1211,Shrink Wrap Machine with Integrated Scale,Shipping,4155,01/27/2023,2. General Maint - High Priority,The turntable stopped spinning. Please check.,Closed and Completed,0,0.5,PU,0.5,01/27/2023 12:00 AM,"Primo Uy - 01/27/23  7:41:21 AM: Error: Film Break.
After basic trouble shooting, found out sensor on the film loader was loose and out of range/no signal when the film is feed to the carouse the machine will not run. Clean sensor and adjust to align the range of the senso and the door closer. reinstall the lock nut. Its working now.",[]
1211,EQ ID 1211,Shrink Wrap Machine with Integrated Scale,Shipping,5447,04/25/2023,"5. Prod Ongoing, Maint Required",The ramp leading into the weighing scale appears to have slightly disconnected. Please refer to the pictures for more reference.,Closed and Completed,0,1.3,Max Primo Mike,0,04/25/2023 12:00 AM,Miguel Diaz - 04/25/23  1:09:12 PM: This had to happened with the VNA going in reverse and going up the ramp flaring up the sides breaking both 1/2 anchor bolts .The welds on the  bracket holding the scale was  also broken .Re-anchored the ramp back down to the concrete.,"[{""name"": ""MicrosoftTeams-image (7).png"", ""url"": ""https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/265?guid=664cbfda-b600-4f1f-92e2-849ecd1f8981""}, {""name"": ""MicrosoftTeams-image (8).png"", ""url"": ""https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/266?guid=664cbfda-b600-4f1f-92e2-849ecd1f8981""}]"
1211,EQ ID 1211,Shrink Wrap Machine with Integrated Scale,Shipping,5640,05/11/2023,"5. Prod Ongoing, Maint Required",Employee advised shrink wrap machine was bumped and found two broken floor anchors .,Closed and Completed,10,0.8,Max Mike,0,05/11/2023 12:00 AM,Miguel Diaz - 05/11/23 12:49:43 PM: Re aligned machine is was off by 1'' re-anchored machine to floor .Added extra anchors so it don't move easily .,[]
1211,EQ ID 1211,Shrink Wrap Machine with Integrated Scale,Shipping,7057,08/29/2023,6. General Maint,Can we have the gripping tape replaced on the shrink wrap machines.,Closed and Completed,200,1.5,Primo & Max,0,08/29/2023 01:30 PM,Maksim Bushka - 08/29/23  1:35:49 PM: Replaced the gripping tape in the shrink wrap machine.,[]
1211,EQ ID 1211,Shrink Wrap Machine with Integrated Scale,Shipping,7069,08/30/2023,1. Prod Stopped,It seems like there is a problem with the sensor. It stops wrapping the pallet halfway up.,Closed and Completed,0,0.4,Mike d,0,08/30/2023 12:00 AM,Miguel Diaz - 08/30/23  7:36:21 AM: Found loose hardware holding the sensor for height control .Tighten hardware .,[]
1211,EQ ID 1211,Shrink Wrap Machine with Integrated Scale,Shipping,7307,09/20/2023,2. General Maint - High Priority,I was informed that the shrink wrap machine is not working properly and is making strange noises and it is not allowing operators to pull the shrink wrap film we need this fixed.,Closed and Completed,0,0.4,Mike d,0,09/20/2023 12:00 AM,"Miguel Diaz - 09/20/23  1:58:32 PM: Found bottom sprocket loose guy key had fallen out .Found guide key re-insert and tighten sprocket .
Machine is working properly .",[]
1211,EQ ID 1211,Shrink Wrap Machine with Integrated Scale,Shipping,11020,04/09/2024,"5. Prod Ongoing, Maint Required",Found shrink wrap machine table not aligned to the ramp on one side it was struck hard  shearing a bolt and creating a gap .,Closed and Completed,0,0.8,Mike d,0,04/09/2024 12:00 AM,Miguel Diaz - 04/09/24  7:52:28 AM: Moved shrink wrap table back over towards the ramp closing the gap .Extracted the broken bolt drilled and tap to a bigger size bolt .Table is secured again .,[]
1211,EQ ID 1211,Shrink Wrap Machine with Integrated Scale,Shipping,15079,03/17/2025,6. General Maint,Shrink machine machine -- the spinning base is getting stuck and it is also moving at different speeds.,Closed and Completed,226.6,1,Mike Gabriel,0,03/18/2025 12:00 AM,"Miguel Diaz - 03/18/25 11:41:55 AM: Replaced motor brushes machine is working with out issues . | Miguel Diaz - 03/17/25  1:25:13 PM: Troubleshoot checked belt tension removed turn table plate  .Vacuumed underneath found excessive plastic film wrapped around the middle turn table bearing, lubed all parts .Turn table still struggling to turn on its own when hitting jog  looked at the turn table motor  brushes Found them less than 1/2 Manual says it should be at least 1 '' .
Ordered replacement brushes part # 31007441 payed for next day air .Delivery tomorrow or weds at the latest .",[]
1211,EQ ID 1211,Shrink Wrap Machine with Integrated Scale,Shipping,19565,05/22/2026,2. General Maint - High Priority,Shrink wrap is not working. We need to push it to start with our feet in order to get it going. May need to replace belt?,Closed and Completed,0,0,Shinobi,0,06/15/2026 12:00 AM,Gabriel Shinobi - 06/15/26  9:24:30 AM: closing work order as another is currently open,[]
1211,EQ ID 1211,Shrink Wrap Machine with Integrated Scale,Shipping,19481,05/18/2026,2. General Maint - High Priority,Hi Team - the shrinkwrap machine is not working properly. Team needs to get involved with machine to make it work. Please see Sabino or Chris H for further details.,Closed and Completed,0,1,"Max, Shinobi",0,06/25/2026 12:00 AM,"Gabriel Shinobi - 07/01/26  7:13:28 AM: vendor inspected, found one brush upside down, connectors on the drive loose, machine working properly | Gabriel Shinobi - 06/24/26  7:01:46 AM: Tech called, waiting on schedule for tech visit. will advice | Maksim Bushka - 05/18/26 12:52:15 PM: Checked out sometimes get stuck probably we need to replace the belt i will check it after 6 pm",[]
