equipment_id,equipment_eq_id,equipment_name,department,wo_id,date_notified,urgency,problem,status,material_cost,labor_time,work_performed_by,downtime_hours,completed_datetime,comments,attachments
5351,EQ ID 5351,VLM Storage Lift -Small Hardware,Toilet Partitions,14132,12/17/2024,4. Prod Continuing but Affected Equipment stopped,"The ""Better Pack 555e"" package slip dispenser is jamming. I have dislodged the piece that was stuck but it re-jams again right after. There may be a small piece blocking that I can not see or other issue.",Closed and Completed,0,0.3,Max,0,12/17/2024 02:30 PM,Maksim Bushka - 12/17/24  2:24:44 PM: Removed the excess tape and cleaned the pathway.,[]
5351,EQ ID 5351,VLM Storage Lift -Small Hardware,Toilet Partitions,14166,12/26/2024,6. General Maint,ME requested we add mats to the cell .,Closed and Completed,1000,1.5,Mike d,0,12/26/2024 12:00 AM,Miguel Diaz - 12/26/24 10:58:47 AM: Ordered what we needed and used what we had on the floor .Open attachment to view picture if needed .,"[{'name': 'VLM Mat 12-26-24.jpg', 'url': 'https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/706?guid=8645b797-e77e-4252-897f-72c1a5c292ba'}]"
5351,EQ ID 5351,VLM Storage Lift -Small Hardware,Toilet Partitions,14436,01/21/2025,"5. Prod Ongoing, Maint Required",Operator advised tray is getting stuck and has to manually pull it to clear error code 1926 height control is interrupted,Closed and Completed,0,0.5,Gabriel Mike,0.5,01/22/2025 12:00 AM,"Miguel Diaz - 01/23/25  6:50:08 AM: Tech came in Yesterday  and evaluated that there was nothing wrong with the system. Recommended to wipe down dust weekly. This should be remedied to a better degree when machine shop is moved. 
After the tech left, we found the VLM display bar not displaying any information, although not optimal the order can still be processed accurately by using the laser the VLM display. Tech returned and we got the display bar working again. 
He advised if we have issues with the machine and order info not coming up on the bar to turn both machine and computer OFF for it to reset .
Note he advised we use WD-40 Specialist silicone spray for the tray rails and maintenance inside the machine .It can be purchased from Grainger Part #300012 | Miguel Diaz - 01/21/25  1:16:13 PM: Gabriel called tech support they will be in tomorrow morning at 7 am",[]
5351,EQ ID 5351,VLM Storage Lift -Small Hardware,Toilet Partitions,14571,02/04/2025,1. Prod Stopped,Operator notified us VLM with error code. 1915 Tray in opening position.,Closed and Completed,0,0.2,G Shinobi,0.2,02/04/2025 12:00 AM,Gabriel Shinobi - 02/04/25 12:51:55 PM: Called tech support. Pushed back bottom tray. Tray too far forward sensor not reading tray. cleared error code.,[]
5351,EQ ID 5351,VLM Storage Lift -Small Hardware,Toilet Partitions,14603,02/04/2025,1. Prod Stopped,operator getting error code 2101 Safety Circuit,Closed and Completed,0,0.2,G Shinobi,0.2,02/04/2025 06:30 AM,"Gabriel Shinobi - 02/07/25  6:24:31 AM: Error code 2101 Safety Cricut. Noticed the housing for the light barrier sensor was affecting the sensor. pushed back housing, sensor working.  Per Operator error code appears often. Trays might be hitting it misaligning it. Eric R sent message to tech.",[]
5351,EQ ID 5351,VLM Storage Lift -Small Hardware,Toilet Partitions,15059,03/13/2025,4. Prod Continuing but Affected Equipment stopped,VLM stop with 2 trays in positioned and door is open when it was going to move we reset it then is ok then it stops again,Closed and Completed,0,1,Raymond tech Kardex,0.5,03/14/2025 12:00 AM,"Miguel Diaz - 03/17/25 10:32:08 AM: Tech Adrian, came in and recalibrated the machine so that the extraction was aligned with the trays. All the work looked to be on the VLM monitor .He advised that the cause was from wear over time as the belt stretches with cycles which is normal.Service is covered under the bi-annual service from Kardex .",[]
5351,EQ ID 5351,VLM Storage Lift -Small Hardware,Toilet Partitions,15854,05/21/2025,1. Prod Stopped,"Off schedule maintenance done by outside Raymond West tech. This is in regards to error code 1904 / 1905 / 1979, which involve the lift not being able to extract / put away certain trays and the vertical photo cell being defective.",Closed and Completed,0,2,Sal & Frank (Raymond West Techs),2,05/21/2025 08:00 AM,"Eric Ramirez - 05/22/25  1:12:18 PM: Raymond west successfully finished maintenance and addressed all error codes in question. It was found that the firmware was not updated in the last SM when it should have been, this resulted in the errors at hand. The firmware was promptly updated, the VLM was assessed and approved, and production returned to schedule with no issues.",[]
5351,EQ ID 5351,VLM Storage Lift -Small Hardware,Toilet Partitions,16213,06/25/2025,1. Prod Stopped,"We've been experiencing ongoing issues with the VLM. The team has been pulling from it, but it randomly loses connection. We had to restart it approximately four times this morning. Additionally, the beam display has stopped working. Once the current order is completed, we will shut everything down properly to prevent further complications.",Closed and Completed,0,0.25,Eric Ramirez,0,06/25/2025 11:30 AM,"Eric Ramirez - 06/25/25 11:38:33 AM: VLM Server was rebooted, then the VLM machine and associated computer were restarted. Everything now functioning as intended. See attached photo.","[{'name': '55c99335-cc8e-461a-bbfd-dfb77d226548.jpg', 'url': 'https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/793?guid=088cde65-f1d9-48db-a9ab-9ffdb6322413'}]"
5351,EQ ID 5351,VLM Storage Lift -Small Hardware,Toilet Partitions,16660,08/06/2025,2. General Maint - High Priority,"Computer and VLM not connecting, can not make production orders. Power Pick software not opening. Protocol Initialization Failed",Closed and Completed,0,0,Eric Ramirez & IT,0,08/06/2025 12:00 AM,"Eric Ramirez - 08/13/25  7:54:27 AM: •	We connected with Joseph (tech), and working with Bobrick IT we found that the adapter settings were changed causing communication error between Power Pick & the VLM
•	The adapter settings were updated and communication with the VLM was successful
•	I tested and verified the connection and that production was working as intended
•	IT concurrently did an investigation and found the wifi signal was weak in the VLM area and is looking into getting a hardline connection
o	The antenna of the wifi was also broken (and replaced); with a hardline connection this will no longer be an issue
•	I will work with hardware to cycle count the trays used during manual pulling this morning to verify inventory is correct
•	Production is back to normal.","[{'name': '54d132dd-d08a-4bec-8f97-3d80445f53e8.jpg', 'url': 'https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/810?guid=0282893b-93a9-4cdf-a7ad-cbf45167663e'}]"
5351,EQ ID 5351,VLM Storage Lift -Small Hardware,Toilet Partitions,16962,09/10/2025,1. Prod Stopped,"The VLM has stopped running, I tried to trouble shot it but nothing seems to be working.",Closed and Completed,0,1,"Raymond Tech, Shinobi",3,09/10/2025 10:00 AM,"Gabriel Shinobi - 09/10/25 10:16:59 AM: Raymond tech found one of the Limit switch on door in the wrong position. switch corrected and system tested. | Gabriel Shinobi - 09/10/25  8:12:40 AM: called tech support, tech on his way to inspect error codes. 2203 Check sensor(s)","[{'name': '2203 Check sensor(s).jpg', 'url': 'https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/830?guid=25988948-1532-4254-b9b1-f3eef6f14e56'}, {'name': 'VLM Level Switch Sensor.jpg', 'url': 'https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/831?guid=25988948-1532-4254-b9b1-f3eef6f14e56'}]"
