,,,,,,
,,,,,,
BLA VENDORS LIST,,,,,,
,,,,,LAST UPDATED:,12/20/2019
Company Name,Contact Name,Address,Business Phone,Cell Phone/Alternate,Fax,Website or Email Address
A/C ACCO ENG.SYSTMS,Sal Lozano,6446 E Washington Blvd,(323) 201-0931,(818) 730-5766,,Slozano@accoes.com
AAA Roofing,Bridget Grove,891 Iowa Riverside CA ,(951) 675-9341,(951) 824-9012,,Bridget.Grove@aaaarft.com
AIR COMPRESSOR ,Ricardo D. Dyk,Dept. of Industrial Relations Pressure Vessel Unit,(714) 567-7208,(714) 309-3589,(714) 567-7297,rdyk@dir.ca.gov
ALARM SYSTEMS,Western Security Monitoring,1592 N. Batavia St. Suite 2,(866) 732-9382,,,jeremyD@wav1.com
ALLSAFE (Locksmith),James Crosby,"6708 Lankershim Blvd.N.H., 91606",(818) 765-5010,,,james@allsafelockandkey.com 
AMERICAN ENVIRONMENTAL TESTING LABORATORIES,Storm Water Collection & Testing services,2908 Naomi St. Burbank,(888) 288-8200,,,www.aetlab.com
AMERIPRIDE UNIFORMS SERVICES,Gary Barish,"10029 Bradley Ave. Pacoima, 91331",(323) 587-3941,(818) 825-0576,(818) 896-7087,www.ameripride.com
ANDY GUMP (Temporary Services),Barry Gump,,(800) 992-7755,,,
CINTAS CORP.,Bryan Falcon,4320 E. Mira Loma Ave,(714) 921-2151,(562) 453-7919,,FalconB@cintas.com
DFS FLOORING (Carpet cleaning and floor cleaning products),Jeff Zimmer,"15651 Saticoy St., VN, 91406",(818) 374-5200,(818) 961-4014,(818) 374-5264,www.DFSFLOORING.COM
DOCKMASTERS (Dock equipment and repair),Ray Broussard,"4436 Worth Street, LA, 90063",(800) 439-9808,(323) 317-9900,(323) 317-9910,rbroussard@dockmasters.com
"DOOR REPAIR SPECIALISTS (Roll up doors, locks, glass, doc equipment, service)",24 hrs,,(800) 630-3667,,,doorrepair@att.net
DUMSTERS/BINS WASTE,Elida Carring,Waste Management of SO CA,(866) 445-8296,,,SoCalBdr@wm.com
DWP City of LA (Electricity) 6901 Tujunga Ave,"Account #956-118-7372
SA#: 9561187602","P.O.BOX 51111, LA 90051",(800) 499-8840,(7 A.M.TO 8 P.M.),,www.ladwp.com
DWP City of LA (Fire Service) 6901 Tujunga Ave,"Account #:956-118-7372
Meter: 00042834
SA #:9561187059
",,(800) 499-8840,,,
DWP City of LA (Sewer) 6901 Tujunga Ave,"Account #956-118-7372
SA#: 9561187419",,(800) 499-8840,,,
DWP City of LA (Sewer) 6945 Tujunga Ave,"Account #: 2126414873
SA#: 2125378139",,(800) 499-8840,,,
